call_id,complaint_id,client_id,phonefinal,vruline,priority,type,outcome,server,date_received,ser_start,ser_exit
34571,CR2374246,C00011804,893-107-7760,AA0103,2,PS,AGENT,SHLOMO,3/6/2017,16:42:54,17:02:48
34572,CR2371358,C00004193,101-824-7809,AA0115,2,PS,AGENT,YIFAT,3/3/2017,11:44:45,11:54:42
34573,CR2370069,C00013657,617-004-7243,AA0110,0,NW,AGENT,NO_SERVER,3/3/2017,12:10:00,12:23:52
34578,CR2367546,C00001592,617-452-6384,AA0109,1,PS,AGENT,DORIT,3/1/2017,15:06:36,15:08:37
34580,CR2364438,C00001950,678-731-5913,AA0105,0,NW,AGENT,AVNI,2/28/2017,14:28:04,14:28:41
34581,CR2365383,C00004474,865-751-9494,AA0204,2,PS,AGENT,MIKI,2/28/2017,14:24:06,14:41:59
34584,CR2363462,C00002806,508-791-3193,AA0201,2,PS,AGENT,AVNI,2/27/2017,9:10:42,9:31:01
34585,CR2362129,C00011267,617-853-1807,AA0113,1,PS,AGENT,SHARON,2/27/2017,14:47:03,14:52:48
34586,CR2360714,C00000076,293-545-7588,AA0104,0,NW,AGENT,IDIT,2/24/2017,11:49:21,11:55:21
34587,CR2357722,C00004541,401-778-6265,AA0115,1,NW,AGENT,SHLOMO,2/23/2017,10:35:26,10:49:20
34588,CR2358198,C00003463,212-616-8813,AA0106,2,PS,AGENT,SHARON,2/23/2017,14:58:09,15:14:29
34589,CR2355167,C00001029,212-333-2794,AA0215,0,PS,AGENT,BENSION,2/22/2017,13:26:16,13:39:18
34590,CR2356522,C00002597,348-023-8834,AA0214,0,PS,AGENT,KAZAV,2/22/2017,12:24:46,12:43:11
34591,CR2355552,C00007723,508-561-6860,AA0214,1,PS,AGENT,AVNI,2/22/2017,13:36:02,13:47:54
34592,CR2356350,C00007127,456-256-2055,AA0210,0,PS,AGENT,TOVA,2/22/2017,16:24:35,16:35:57
34595,CR2354272,C00000446,505-839-7581,AA0109,0,NW,AGENT,MICHAL,2/21/2017,16:40:59,16:46:23
34596,CR2354077,C00001753,781-292-5899,AA0201,0,NW,AGENT,MORIAH,2/21/2017,11:46:04,11:59:02
34597,CR2353608,C00002480,161-776-5723,AA0203,0,PS,AGENT,TOVA,2/21/2017,9:38:24,9:42:07
34598,CR2349304,C00002902,150-386-8887,AA0204,2,PS,AGENT,STEREN,2/17/2017,14:31:11,14:51:46
34599,CR2347795,C00001122,298-650-1719,AA0105,1,PS,AGENT,GELBER,2/16/2017,13:18:47,13:29:04
34602,CR2346999,C00001890,242-066-8207,AA0115,2,PS,AGENT,TOVA,2/15/2017,16:54:11,16:59:12
34603,CR2344160,C00010828,212-376-3611,AA0102,0,PS,AGENT,YIFAT,2/14/2017,11:36:54,11:38:06
34604,CR2343097,C00000515,918-314-3728,AA0102,0,NE,AGENT,KAZAV,2/14/2017,13:19:04,13:23:18
34607,CR2340997,C00003047,663-775-5494,AA0201,2,PS,AGENT,ANAT,2/13/2017,14:27:40,14:42:56
34608,CR2341553,C00002578,914-297-7141,AA0214,0,NW,AGENT,TOVA,2/13/2017,13:21:37,13:22:55
34610,CR2339177,C00002693,570-293-7736,AA0109,0,PS,AGENT,NO_SERVER,2/10/2017,9:16:26,9:19:33
34611,CR2336561,C00009846,361-447-3343,AA0203,0,NW,AGENT,TOVA,2/9/2017,15:43:18,15:47:13
34612,CR2336515,C00004735,799-709-6386,AA0201,1,PS,AGENT,TOVA,2/9/2017,13:30:05,13:35:43
34614,CR2332670,C00010070,617-987-0617,AA0214,0,PS,AGENT,TOVA,2/7/2017,13:05:10,13:07:11
34615,CR2330453,C00003907,197-430-7586,AA0213,0,NE,AGENT,GILI,2/6/2017,10:43:17,10:46:42
34616,CR2330518,C00001408,238-765-9083,AA0202,0,PS,AGENT,KAZAV,2/6/2017,13:44:38,13:59:06
34618,CR2324151,C00001013,894-336-4117,AA0214,1,PS,AGENT,STEREN,2/2/2017,14:33:01,14:45:25
34619,CR2321678,C00003791,356-349-1063,AA0209,2,PS,AGENT,MORIAH,2/2/2017,14:03:58,14:08:05
34620,CR2325187,C00001628,504-968-6745,AA0113,0,NE,AGENT,ELI,2/2/2017,14:11:18,14:29:46
34622,CR2317826,C00001248,940-007-9030,AA0213,0,PS,AGENT,BASCH,1/30/2017,11:55:01,12:05:28
34623,CR2317569,C00003475,924-456-1095,AA0107,2,TT,AGENT,NO_SERVER,1/30/2017,10:20:37,10:36:00
34624,CR2317933,C00002151,508-174-5751,AA0206,2,PS,AGENT,ANAT,1/30/2017,11:32:41,11:42:47
34626,CR2314643,C00001797,312-349-2628,AA0101,0,PS,AGENT,DORIT,1/27/2017,13:07:44,13:20:57
34628,CR2314736,C00002226,312-080-0390,AA0105,0,PS,AGENT,SHARON,1/27/2017,11:00:40,11:05:56
34629,CR2315474,C00003875,212-994-8696,AA0209,2,PS,AGENT,YITZ,1/27/2017,10:48:38,10:48:45
34630,CR2310722,C00003657,248-634-7803,AA0205,2,PS,AGENT,MIKI,1/25/2017,14:28:10,14:47:31
34631,CR2311288,C00011147,265-012-6222,AA0110,2,PS,AGENT,MIKI,1/25/2017,13:58:17,13:59:01
34632,CR2310354,C00000232,854-444-6236,AA0109,2,PS,AGENT,SHARON,1/25/2017,14:06:28,14:20:38
34633,CR2308539,C00002503,281-754-2076,AA0104,2,PS,AGENT,MORIAH,1/24/2017,11:57:51,12:16:03
34634,CR2305383,C00000146,917-678-2836,AA0103,2,PS,AGENT,AVNI,1/24/2017,11:24:26,11:30:51
34635,CR2305857,C00000110,634-013-0057,AA0102,2,PS,AGENT,DARMON,1/23/2017,10:17:50,10:25:12
34636,CR2301475,C00002268,910-018-0049,AA0214,2,PS,AGENT,MIKI,1/20/2017,12:14:56,12:17:58
34637,CR2301210,C00004258,547-226-1341,AA0206,1,PS,AGENT,ANAT,1/20/2017,15:05:55,15:25:31
34639,CR2301127,C00008489,585-787-6851,AA0203,0,PS,AGENT,TOVA,1/20/2017,16:29:32,16:43:15
34640,CR2298291,C00003258,711-170-3148,AA0103,2,PS,AGENT,SHARON,1/19/2017,12:38:21,12:39:12
34642,CR2294240,C00000917,857-625-6519,AA0206,0,PS,AGENT,DARMON,1/18/2017,15:16:07,15:36:24
34643,CR2292024,C00003067,508-728-2172,AA0204,1,PS,AGENT,YITZ,1/18/2017,13:20:50,13:26:26
34644,CR2293938,C00003467,212-985-4873,AA0215,0,PS,AGENT,MORIAH,1/18/2017,15:42:19,15:51:52
34646,CR2288912,C00003348,346-192-7574,AA0213,0,NW,AGENT,YIFAT,1/13/2017,9:56:22,10:12:22
34647,CR2289056,C00002981,944-944-0200,AA0103,0,PS,AGENT,MORIAH,1/13/2017,14:16:51,14:36:07
34648,CR2285660,C00002906,461-185-8491,AA0206,0,PS,AGENT,AVIDAN,1/11/2017,12:24:56,12:38:37
34649,CR2283299,C00000287,716-179-4777,AA0109,0,NW,AGENT,TOVA,1/10/2017,15:42:47,15:49:43
34650,CR2283645,C00001394,674-781-6659,AA0205,0,NW,AGENT,YITZ,1/10/2017,13:33:46,13:50:25
34651,CR2282295,C00002786,671-085-3435,AA0111,0,TT,AGENT,BASCH,1/10/2017,11:19:59,11:40:31
34652,CR2281138,C00001199,644-160-4985,AA0215,0,NW,AGENT,MIKI,1/9/2017,15:37:19,15:51:58
34653,CR2275944,C00003782,212-522-4265,AA0106,0,PS,AGENT,BENSION,1/6/2017,9:21:43,9:38:30
34654,CR2279164,C00003909,459-262-9261,AA0115,0,PS,AGENT,GILI,1/6/2017,10:38:36,10:42:02
34655,CR2279262,C00004514,617-286-0356,AA0108,0,TT,AGENT,STEREN,1/6/2017,16:08:32,16:18:02
34656,CR2273074,C00001529,184-946-5589,AA0204,0,PS,AGENT,AVNI,1/3/2017,13:12:58,13:13:46
34657,CR2272555,C00004275,411-416-0778,AA0209,0,PS,AGENT,SHARON,1/3/2017,14:40:57,14:49:22
34658,CR2272801,C00002430,996-964-9510,AA0215,0,NW,AGENT,STEREN,1/3/2017,16:54:36,17:08:11
34659,CR2267388,C00001121,617-927-2995,AA0110,0,PS,AGENT,YIFAT,12/28/2016,11:34:46,11:42:41
34662,CR2264142,C00001434,946-732-1068,AA0101,0,PS,AGENT,YIFAT,12/27/2016,13:16:58,13:27:12
34663,CR2264909,C00005325,755-055-9989,AA0110,2,NE,AGENT,IDIT,12/27/2016,16:41:25,16:52:04
34664,CR2262905,C00001932,786-139-8177,AA0104,0,PS,AGENT,AVNI,12/23/2016,10:21:20,10:25:57
34666,CR2261790,C00002559,692-076-6357,AA0113,0,PS,AGENT,ANAT,12/22/2016,13:50:18,13:57:30
34667,CR2261590,C00003020,273-113-9563,AA0110,0,PS,AGENT,TOVA,12/22/2016,16:06:04,16:25:11
34668,CR2259304,C00003699,212-927-7940,AA0102,0,NW,AGENT,STEREN,12/21/2016,13:42:47,13:58:52
34669,CR2258167,C00001345,217-593-9351,AA0213,0,PS,AGENT,GILI,12/20/2016,10:45:47,10:48:13
34670,CR2257145,C00004390,474-415-6034,AA0204,0,NE,AGENT,ELI,12/20/2016,10:09:26,10:29:48
34671,CR2257781,C00001899,617-395-4007,AA0209,0,NE,AGENT,SHARON,12/20/2016,14:07:49,14:26:20
34672,CR2255768,C00001033,212-310-1819,AA0202,0,PS,AGENT,SHARON,12/19/2016,15:00:43,15:10:03
34673,CR2254796,C00000893,596-089-6158,AA0109,2,PS,AGENT,YIFAT,12/19/2016,14:11:45,14:25:32
34674,CR2256790,C00013262,585-467-6271,AA0110,0,NE,AGENT,TOVA,12/19/2016,10:42:23,11:00:43
34676,CR2250030,C00003698,833-893-0290,AA0214,1,PS,AGENT,TOVA,12/14/2016,9:16:17,9:33:10
34677,CR2248095,C00001479,212-915-4941,AA0104,0,PS,AGENT,YIFAT,12/13/2016,12:15:48,12:23:37
34678,CR2247509,C00003042,265-204-7503,AA0202,2,PS,AGENT,AVNI,12/13/2016,16:26:56,16:29:51
34679,CR2247534,C00001978,240-798-7810,AA0105,0,NE,AGENT,ELI,12/13/2016,11:25:22,11:38:25
34681,CR2245250,C00005164,617-850-7472,AA0103,0,PS,AGENT,BASCH,12/12/2016,15:42:10,15:42:48
34682,CR2243250,C00003816,212-366-2572,AA0205,0,PS,AGENT,SHLOMO,12/9/2016,10:07:11,10:08:10
34683,CR2241678,C00001747,408-629-2951,AA0203,0,PS,AGENT,IDIT,12/8/2016,16:42:52,16:57:41
34684,CR2242281,C00000348,801-528-5337,AA0209,1,PS,AGENT,SHARON,12/8/2016,16:55:22,17:14:39
34685,CR2239689,C00004476,770-608-8468,AA0209,1,PS,AGENT,BENSION,12/7/2016,12:50:20,13:11:13
34688,CR2236100,C00000699,647-201-6786,AA0102,2,PS,AGENT,IDIT,12/5/2016,10:03:04,10:04:23
34689,CR2235210,C00005012,893-899-0740,AA0110,0,PS,AGENT,DORIT,12/5/2016,9:59:29,10:08:28
34690,CR2232723,C00002818,609-647-3562,AA0102,0,NW,AGENT,DORIT,12/2/2016,12:42:14,12:57:16
34692,CR2233894,C00004482,617-679-6635,AA0203,2,PS,AGENT,MORIAH,12/2/2016,12:46:17,13:03:57
34693,CR2230432,C00002116,914-235-2659,AA0209,1,PS,AGENT,YITZ,11/30/2016,14:24:28,14:37:34
34694,CR2230013,C00000653,212-317-8765,AA0105,0,PS,AGENT,MIKI,11/30/2016,16:24:51,16:32:48
34695,CR2226376,C00004808,161-615-6933,AA0102,0,PS,AGENT,YIFAT,11/28/2016,15:55:03,16:03:04
34696,CR2223343,C00003305,532-240-5250,AA0206,2,PS,AGENT,ANAT,11/25/2016,11:02:04,11:09:24
34697,CR2223164,C00003304,176-588-9105,AA0112,0,TT,AGENT,BASCH,11/25/2016,13:17:02,13:32:26
34698,CR2221149,C00013451,404-775-9228,AA0209,0,NW,AGENT,AVNI,11/24/2016,13:02:57,13:19:13
34699,CR2222146,C00000700,857-578-4130,AA0102,0,PS,AGENT,YIFAT,11/23/2016,14:03:22,14:22:24
34701,CR2222452,C00002718,374-184-1812,AA0109,0,NW,AGENT,MICHAL,11/23/2016,13:01:47,13:21:14
34702,CR2219054,C00000471,248-779-0717,AA0112,0,TT,AGENT,ANAT,11/22/2016,10:29:45,10:39:13
34703,CR2220199,C00003738,175-800-6801,AA0115,0,PS,AGENT,BENSION,11/22/2016,15:37:41,15:46:39
34704,CR2218062,C00003042,265-204-7503,AA0213,1,PS,AGENT,ZOHARI,11/21/2016,10:16:53,10:17:19
34705,CR2214703,C00002605,947-239-9770,AA0215,0,PS,AGENT,YIFAT,11/19/2016,12:06:42,12:13:07
34707,CR2214007,C00003578,734-149-5933,AA0214,0,PS,AGENT,AVIDAN,11/17/2016,15:12:49,15:23:05
34708,CR2213224,C00012303,362-949-2478,AA0202,2,PS,AGENT,YIFAT,11/17/2016,14:21:14,14:40:23
34709,CR2211664,C00004186,981-817-8340,AA0203,1,PS,AGENT,AVIDAN,11/16/2016,14:36:35,14:52:37
34710,CR2212183,C00001899,606-221-8334,AA0204,0,NW,AGENT,MICHAL,11/16/2016,15:40:44,15:52:15
34711,CR2210790,C00005138,746-353-2657,AA0106,1,PS,AGENT,YIFAT,11/16/2016,9:41:17,9:45:04
34715,CR2210253,C00002577,377-861-5411,AA0104,0,PS,AGENT,TOVA,11/15/2016,16:25:39,16:29:48
34716,CR2207961,C00004473,547-382-6887,AA0104,0,PS,AGENT,AVNI,11/14/2016,16:23:33,16:32:44
34717,CR2206354,C00003591,837-195-8937,AA0209,2,PS,AGENT,SHARON,11/14/2016,9:34:12,9:39:08
34718,CR2207418,C00004131,508-135-8779,AA0105,0,NW,AGENT,YITZ,11/14/2016,14:43:16,14:45:27
34720,CR2203108,C00000122,886-432-0564,AA0101,0,PS,AGENT,BENSION,11/10/2016,15:05:12,15:08:44
34721,CR2204099,C00000258,679-001-2022,AA0203,0,NE,AGENT,BASCH,11/10/2016,15:41:02,15:59:15
34722,CR2201357,C00003470,114-406-9537,AA0204,0,PS,AGENT,BENSION,11/9/2016,12:43:41,12:55:20
34723,CR2198057,C00003251,143-003-4091,AA0109,2,NE,AGENT,AVIDAN,11/7/2016,9:55:14,10:03:49
34724,CR2197959,C00000260,637-172-2074,AA0102,0,NE,AGENT,ELI,11/7/2016,14:30:21,14:40:32
34725,CR2193850,C00002233,675-119-4754,AA0210,2,NE,AGENT,ZOHARI,11/3/2016,9:09:44,9:13:12
34726,CR2193660,C00003438,802-842-2969,AA0203,1,PS,AGENT,YITZ,11/3/2016,9:47:05,9:56:26
34727,CR2191914,C00007797,716-578-4924,AA0101,0,NW,AGENT,NO_SERVER,11/2/2016,9:59:49,10:16:33
34728,CR2190967,C00001335,212-050-1469,AA0115,0,NW,AGENT,MIKI,11/2/2016,15:02:13,15:03:36
34729,CR2192338,C00001471,212-047-9701,AA0112,1,TT,AGENT,NO_SERVER,11/2/2016,15:36:52,15:46:26
34730,CR2191029,C00000820,797-077-2686,AA0206,0,NW,AGENT,MICHAL,11/2/2016,10:44:06,10:59:35
34732,CR2188678,C00003456,709-146-4033,AA0206,2,PS,AGENT,SHARON,11/1/2016,10:26:05,10:33:20
34735,CR2185200,C00004348,285-954-1811,AA0214,2,PS,AGENT,BASCH,10/28/2016,11:08:46,11:09:15
34736,CR2180000,C00001817,282-524-0037,AA0102,0,PS,AGENT,SHARON,10/26/2016,14:06:23,14:19:22
34737,CR2180332,C00002910,914-445-0614,AA0205,0,NW,AGENT,TOVA,10/26/2016,16:43:40,16:45:40
34738,CR2178177,C00004331,309-705-8191,AA0203,1,PS,AGENT,AVIDAN,10/25/2016,13:00:59,13:21:27
34739,CR2178679,C00010076,460-699-6534,AA0109,1,PS,AGENT,IDIT,10/25/2016,9:04:58,9:06:28
34740,CR2174890,C00004725,482-772-4418,AA0214,2,PS,AGENT,MIKI,10/24/2016,10:56:57,11:12:25
34742,CR2170541,C00003662,281-629-5554,AA0201,2,PS,AGENT,MORIAH,10/21/2016,12:57:16,13:13:42
34743,CR2171050,C00002555,199-851-3200,AA0105,0,PS,AGENT,ZOHARI,10/21/2016,15:50:19,15:58:12
34745,CR2173390,C00002212,513-799-2738,AA0209,0,PS,AGENT,MIKI,10/21/2016,10:26:06,10:45:38
34746,CR2169725,C00002752,508-743-2107,AA0201,2,PS,AGENT,MICHAL,10/20/2016,16:29:36,16:47:28
34747,CR2168738,C00004673,978-603-5427,AA0213,0,PS,AGENT,DORIT,10/19/2016,12:47:42,12:50:52
34748,CR2165723,C00000694,343-180-6235,AA0101,0,NW,AGENT,BASCH,10/18/2016,11:57:37,12:02:57
34749,CR2166137,C00007011,991-353-6868,AA0115,1,PS,AGENT,ZOHARI,10/18/2016,11:05:37,11:20:32
34750,CR2163506,C00000285,762-058-5335,AA0214,2,PS,AGENT,IDIT,10/17/2016,12:21:22,12:37:22
34751,CR2165000,C00013190,617-175-3681,AA0213,2,PS,AGENT,AVIDAN,10/17/2016,9:57:14,10:09:26
34752,CR2165064,C00000083,212-031-4727,AA0105,2,PS,AGENT,DORIT,10/17/2016,9:20:36,9:33:16
34753,CR2161157,C00004105,523-666-3502,AA0103,2,PS,AGENT,STEREN,10/14/2016,16:48:15,17:03:15
34754,CR2159872,C00001743,336-306-0723,AA0110,0,PS,AGENT,YIFAT,10/13/2016,14:37:09,14:42:12
34757,CR2155555,C00002645,331-868-8475,AA0109,0,NW,AGENT,MIKI,10/11/2016,14:27:38,14:44:15
34759,CR2150432,C00003201,214-736-2773,AA0209,2,NE,AGENT,TOVA,10/6/2016,15:36:35,15:37:35
34760,CR2149617,C00002167,212-260-8145,AA0115,0,NW,AGENT,BASCH,10/6/2016,9:04:15,9:24:11
34761,CR2148694,C00001682,978-204-4837,AA0215,0,NE,AGENT,ANAT,10/5/2016,11:46:27,11:53:15
34762,CR2144993,C00004288,199-730-9100,AA0101,1,PS,AGENT,GILI,10/4/2016,11:37:23,11:50:30
34763,CR2145445,C00000417,212-127-8460,AA0112,1,TT,AGENT,MIKI,10/4/2016,10:47:19,10:56:47
34764,CR2146294,C00002593,212-810-5117,AA0107,0,TT,AGENT,ANAT,10/4/2016,14:53:45,15:09:32
34765,CR2143247,C00002426,238-681-7126,AA0201,0,PS,AGENT,GILI,10/3/2016,11:35:41,11:42:41
34766,CR2143958,C00001683,506-209-1631,AA0115,2,PS,AGENT,KAZAV,10/3/2016,13:25:17,13:38:00
34768,CR2139139,C00004508,768-344-4042,AA0209,0,PS,AGENT,KAZAV,9/29/2016,11:39:40,11:55:58
34769,CR2135857,C00006886,401-509-2345,AA0209,2,PS,AGENT,KAZAV,9/28/2016,13:05:07,13:15:03
34770,CR2132926,C00002968,808-268-7264,AA0101,0,PS,AGENT,GILI,9/27/2016,10:17:18,10:21:44
34771,CR2128341,C00005402,236-437-1490,AA0101,2,PS,AGENT,YIFAT,9/23/2016,15:05:55,15:09:31
34772,CR2128660,C00004199,611-090-7828,AA0104,2,PS,AGENT,YITZ,9/23/2016,9:45:39,9:46:51
34775,CR2128020,C00004628,212-096-9270,AA0109,0,PS,AGENT,DORIT,9/23/2016,16:39:50,16:56:37
34776,CR2129490,C00010389,727-324-6761,AA0210,2,PS,AGENT,MICHAL,9/23/2016,11:27:43,11:45:23
34780,CR2123242,C00004554,268-769-0486,AA0201,2,PS,AGENT,DORIT,9/21/2016,10:49:11,11:04:49
34781,CR2120933,C00002780,982-119-1893,AA0109,0,PS,AGENT,TOVA,9/20/2016,15:21:36,15:25:33
34782,CR2121068,C00001927,315-195-4833,AA0115,0,PS,AGENT,IDIT,9/20/2016,12:18:32,12:23:10
34784,CR2119586,C00004582,882-794-8678,AA0215,0,NW,AGENT,MORIAH,9/19/2016,13:54:50,14:07:10
34785,CR2119043,C00004387,392-537-8507,AA0105,2,PS,AGENT,ANAT,9/19/2016,12:41:20,12:47:25
34786,CR2116017,C00003800,171-180-8290,AA0109,0,NW,AGENT,AVIDAN,9/16/2016,12:00:51,12:09:24
34787,CR2116445,C00011409,803-600-1604,AA0201,2,PS,AGENT,YITZ,9/16/2016,11:59:33,12:05:47
34788,CR2115603,C00000945,192-086-9822,AA0204,0,NW,AGENT,MIKI,9/16/2016,10:36:42,10:49:04
34789,CR2114332,C00002674,313-973-2876,AA0203,0,PS,AGENT,IDIT,9/15/2016,12:32:08,12:43:59
34790,CR2112683,C00003471,212-266-7906,AA0210,2,PS,AGENT,IDIT,9/14/2016,13:59:20,13:59:44
34791,CR2112898,C00001564,661-447-4205,AA0215,0,PS,AGENT,AVIDAN,9/14/2016,16:42:48,16:49:41
34792,CR2108413,C00001349,681-243-3561,AA0214,0,PS,AGENT,DORIT,9/13/2016,9:49:21,10:05:33
34793,CR2106689,C00001286,567-845-8514,AA0209,2,PS,AGENT,TOVA,9/12/2016,10:13:34,10:23:39
34794,CR2103814,C00001186,203-536-8848,AA0214,2,PS,AGENT,YIFAT,9/9/2016,16:48:16,16:49:41
34795,CR2101414,C00000051,193-754-1578,AA0101,0,NW,AGENT,SHARON,9/8/2016,15:12:09,15:20:49
34797,CR2098991,C00005801,125-631-4840,AA0104,2,PS,AGENT,GELBER,9/7/2016,10:26:19,10:41:18
34799,CR2096360,C00002329,444-910-8715,AA0214,0,PS,AGENT,NAAMA,9/6/2016,15:39:49,15:59:52
34800,CR2097924,C00003620,658-087-8204,AA0210,2,PS,AGENT,BENSION,9/6/2016,12:31:47,12:32:59
34801,CR2096586,C00000086,212-302-5046,AA0214,0,PS,AGENT,TOVA,9/6/2016,14:22:05,14:31:18
34802,CR2092735,C00003244,541-529-7166,AA0106,0,NW,AGENT,KAZAV,9/1/2016,14:28:30,14:36:07
34804,CR2090464,C00001318,314-746-4338,AA0209,1,PS,AGENT,DORIT,8/31/2016,15:19:26,15:37:44
34805,CR2086513,C00000144,207-015-7372,AA0101,2,PS,AGENT,MORIAH,8/29/2016,13:10:09,13:15:57
34806,CR2085827,C00003737,389-267-0322,AA0115,2,PS,AGENT,AVNI,8/29/2016,15:03:41,15:03:55
34807,CR2086741,C00002623,647-864-2181,AA0215,1,PS,AGENT,BASCH,8/29/2016,11:37:16,11:54:29
34808,CR2085142,C00001930,719-748-5017,AA0204,0,PS,AGENT,SHARON,8/29/2016,10:56:02,11:11:32
34809,CR2084172,C00000548,716-337-2086,AA0210,0,PS,AGENT,IDIT,8/26/2016,14:46:03,14:46:40
34810,CR2083554,C00001583,212-119-8291,AA0203,1,PS,AGENT,STEREN,8/26/2016,14:35:34,14:44:51
34811,CR2079552,C00001958,285-927-8795,AA0109,0,NW,AGENT,IDIT,8/25/2016,16:27:20,16:42:22
34812,CR2082015,C00003275,554-290-3106,AA0106,0,NE,AGENT,ZOHARI,8/25/2016,16:23:44,16:27:12
34814,CR2082032,C00000814,484-928-7263,AA0205,1,PS,AGENT,SHARON,8/25/2016,12:40:32,13:00:15
34815,CR2079409,C00004584,665-118-6190,AA0209,0,PS,AGENT,TOVA,8/24/2016,11:40:46,11:41:12
34816,CR2080894,C00002938,926-451-9819,AA0204,0,NW,AGENT,YIFAT,8/24/2016,16:19:30,16:35:21
34818,CR2074496,C00004567,315-967-5696,AA0205,0,PS,AGENT,KAZAV,8/23/2016,10:55:47,10:56:58
34820,CR2074342,C00009675,781-705-9449,AA0110,2,PS,AGENT,KAZAV,8/23/2016,13:11:26,13:12:08
34822,CR2072511,C00000757,617-755-6768,AA0107,2,TT,AGENT,AVNI,8/19/2016,13:12:35,13:25:32
34823,CR2072231,C00002463,483-951-2085,AA0105,1,PS,AGENT,TOVA,8/19/2016,9:29:17,9:32:32
34824,CR2071163,C00003039,978-763-0248,AA0111,1,TT,AGENT,DORIT,8/18/2016,11:35:40,11:53:25
34825,CR2070783,C00004462,212-162-5784,AA0105,0,NW,AGENT,STEREN,8/18/2016,10:55:42,11:12:14
34826,CR2069704,C00000390,211-771-4957,AA0109,2,PS,AGENT,AVNI,8/18/2016,15:48:45,15:52:33
34827,CR2069950,C00002115,413-532-7903,AA0115,0,PS,AGENT,YITZ,8/18/2016,11:31:50,11:33:45
